TeamID,Key,School,Name,Conference
171,MANH,Manhattan,Jaspers,Metro Atlantic Athletic
172,CANS,Canisius,Golden Griffins,Metro Atlantic Athletic
173,RIDER,Rider,Broncs,Metro Atlantic Athletic
174,QUIN,Quinnipiac,Bobcats,Metro Atlantic Athletic
175,NIAGRA,Niagara,Purple Eagles,Metro Atlantic Athletic
176,MARIST,Marist,Red Foxes,Metro Atlantic Athletic
177,AKRON,Akron,Zips,Mid-American
178,KENTST,Kent State,Golden Flashes,Mid-American
179,BUF,Buffalo,Bulls,Mid-American
180,OHIO,Ohio,Bobcats,Mid-American
181,BOWLGR,Bowling Green,Falcons,Mid-American
182,MIAOH,Miami (OH),RedHawks,Mid-American
183,TOLEDO,Toledo,Rockets,Mid-American
184,BALLST,Ball State,Cardinals,Mid-American
185,CMICH,Central Michigan,Chippewas,Mid-American
186,NILL,Northern Illinois,Huskies,Mid-American
187,EMICH,Eastern Michigan,Eagles,Mid-American
188,WMICH,Western Michigan,Broncos,Mid-American
189,HAMP,Hampton,Pirates,Coastal Athletic Association
190,SCARST,South Carolina State,Bulldogs,Mid-Eastern
191,NORFST,Norfolk State,Spartans,Mid-Eastern
192,BCOOK,Bethune-Cookman,Wildcats,Southwestern Athletic
193,MDES,Maryland Eastern Shore,Hawks,Mid-Eastern
194,SAVST,Savannah State,Tigers,
195,HOWRD,Howard,Bison,Mid-Eastern
196,NCAT,North Carolina A&T,Aggies,Coastal Athletic Association
197,NCC,North Carolina Central,Eagles,Mid-Eastern
198,FLAM,Florida A&M,Rattlers,Southwestern Athletic
199,MORGST,Morgan State,Bears,Mid-Eastern
200,COPPST,Coppin State,Eagles,Mid-Eastern
201,DELST,Delaware State,Hornets,Mid-Eastern
202,WICHST,Wichita State,Shockers,American
203,EVANS,Evansville,Aces,Missouri Valley
204,ILLST,Illinois State,Redbirds,Missouri Valley
205,SILL,Southern Illinois,Salukis,Missouri Valley
206,NIOWA,Northern Iowa,Panthers,Missouri Valley
207,INDST,Indiana State,Sycamores,Missouri Valley
208,MSRST,Missouri State,Bears,Conference USA
209,LOYCH,Loyola Chicago,Ramblers,Atlantic 10
210,BRADLY,Bradley,Braves,Missouri Valley
211,DRAKE,Drake,Bulldogs,Missouri Valley
212,SDST,San Diego State,Aztecs,Mountain West
213,FREST,Fresno State,Bulldogs,Mountain West
214,NMX,New Mexico,Lobos,Mountain West
215,BOISE,Boise State,Broncos,Mountain West
216,NEVADA,Nevada,Wolf Pack,Mountain West
217,COLST,Colorado State,Rams,Mountain West
218,UNLV,UNLV,Runnin' Rebels,Mountain West
219,WYOM,Wyoming,Cowboys,Mountain West
220,UTAHST,Utah State,Aggies,Mountain West
221,AIRF,Air Force,Falcons,Mountain West
222,SJST,San Jose State,Spartans,Mountain West
223,WAG,Wagner,Seahawks,Northeast
224,FAIRDK,Fairleigh Dickinson,Knights,Northeast
225,STFPA,St. Francis (PA),Red Flash,Northeast
226,MSTM,Mount St. Mary's,Mountaineers,Metro Atlantic Athletic
227,SACRED,Sacred Heart,Pioneers,Metro Atlantic Athletic
228,STF,St. Francis Brooklyn,Terriers,
