TeamID,Key,School
421,CAIR,Cairn
422,CIDAH,College of Idaho
423,FONT,Fontbonne
424,TRINTX,Trinity (TX)
425,CENT,Centenary
426,MRCD,California Merced
427,LEMYN,Le Moyne
428,JANDW,Johnson & Wales (NC)
429,CSSM,Cal State San Marcos
430,LOYOLO,Loyola (LA)
431,TXPB,Texas-Permian Basin
432,BOB,Bob Jones
433,FVST,Fort Valley State
434,WARWIL,Warren Wilson
435,KYCH,Kentucky Christian
436,KOKO,Indiana-Kokomo
437,VOORHE,Voorhees College
440,FRSTBG,Frostburg State
441,UMFK,Maine-Fort Kent
442,SCHREI,Schreiner
443,TRUST,Truman State
444,CENST,Central State
445,DUB,Dubuque
446,HSST,Harris-Stowe
447,MIDAMC,Mid-America Christian
448,CONCAU,Concordia (TX)
449,CARV,Carver College
450,CHRIS,Christendom College
451,WSS,Winston-Salem State
452,GLEN,Glenville State
453,TIFFIN,Tiffin
454,BLOM,Bloomsburg
455,BPARK,Brewton-Parker College
456,HIWA,Hiwassee College
457,MOSCT,Missouri Science & Technology
458,BENE,Benedictine Mesa
459,FLCOL,Florida College
460,LIFE,Life Pacific
461,MILE,Miles
462,AVC,Averett
463,HNAMES,Holy Names
464,MILLIG,Milligan
465,NCWESL,North Carolina Wesleyan
466,ROCHEL,College of New Rochelle
467,WJU,William Jessup
468,MOBILE,Mobile
469,FLMEM,Florida Memorial
470,SPHIL,Spring Hill
471,HOWP,Howard Payne
472,BRESC,Brescia
473,WILBAP,Williams Baptist
474,FISK,Fisk
475,WAWA,Walla Walla
476,COVENA,Covenant
477,TRUE,Truett-McConnell
478,LACOLL,Louisiana College
479,SONO,Sonoma State
480,NWCOLL,Northwest
481,NDOH,Notre Dame College of Ohio
482,BREC,Brevard College
483,STFR,St. Francis (IL)
484,TRIFL,Trinity (FL)
485,STMAMD,St. Mary's (MD)
486,WILMDE,Wilmington (DE)
487,CSDH,Cal State-Dominguez Hills
488,PIEDMO,Piedmont
489,CWA,Central Washington
490,MYVLST,Mayville State
491,JWCO,Johnson & Wales (CO)
492,INNW,Indiana-Northwest
493,COE,Coe
494,NLAND,Northland
495,HOOD,Hood
496,PEACE,William Peace
497,MILLSA,Millsaps
499,MEMAC,Maine-Machias
500,SECOL,Southeastern
501,NWOHIO,Northwestern Ohio
502,FRANU,Franciscan
503,CDRVL,Cedarville
504,GCSU,Georgia College & State
505,STLEO,St. Leo
506,WILEY,Wiley
507,LYON,Lyon
508,BTHKS,Bethany (KS)
509,WILUTH,Wisconsin Lutheran
510,SOUT,Southwest
511,CPENN,Central Pennsylvania College
512,HNTGDN,Huntingdon
513,UWS,Wisconsin-Stout
514,BELLE,Bellevue
515,WILSON,Wilson
516,FIND,Findlay
517,ILBE,Benedictine
518,ROSEM,Rosemont College
519,KEISR,Keiser
520,BRYAN,Bryan College
521,IUSB,IU-South Bend
522,CMELL,Carnegie Mellon
523,WWU,William Woods
605,ROCHMI,Rochester (MI)
606,MARS,Mars Hill
607,CONCMI,Concordia (MI)
608,NEWB,Newbury
609,CCNY,City College of New York
610,MIT,MIT
611,EMENNO,Eastern Mennonite
612,RIVI,Rivier
613,DAVELK,Davis & Elkins
614,LRHY,Lenoir-Rhyne
615,WASHMD,Washington College
616,MID-,Mid-Atlantic Christian
617,RAND,Randolph College
618,WILM,Wilmington (OH)
619,FERRUM,Ferrum
620,LEESMC,Lees-McRae
621,ETXBAP,East Texas Baptist
622,TXWESL,Texas Wesleyan
623,OAKLCT,Oakland City
624,WEST,Westcliff
625,ANGL,Angelo State
626,RCKFRD,Rockford
627,BEMI,Bemidji State
628,UTXT,Texas-Tyler
629,CONCIL,Concordia-Chicago
630,UNIV,University of the Virgin Islands
631,USOUTH,Sewanee
632,KENN,Columbia International
633,WSTMUT,Westminster (UT)
634,CUMBER,Cumberland
635,UAA,Alaska-Anchorage
636,MULT,Multnomah
637,WEBBER,Webber International
638,FLTECH,Florida Tech
639,COLU,Washington Adventist
640,MEVERS,Medgar Evers
641,FLCHR,Johnson (FL)
642,UWPA,Wisconsin-Parkside
643,OGLE,Oglethorpe
644,COLCHR,Colorado Christian
645,MENLO,Menlo
646,SUNY,SUNY-Canton
647,STANDR,St. Andrews Presbyterian
648,EARL,Earlham
649,SEOKST,Southeastern Oklahoma State
650,SWAG,Southwestern Assemblies of God
651,BVU,Buena Vista
652,HNDRX,Hendrix College
653,SWUNIV,Southwestern
654,UPS,Puget Sound
655,ANTE,Antelope Valley
656,DES,DeSales
657,JWFL,Johnson & Wales (FL)
658,BLUMT,Blue Mountain College
660,OLLU,Our Lady of the Lake
661,JARVCH,Jarvis Christian
662,COCOL,Colorado College
663,SIMP,Simpson
664,HUMB,Humboldt State
665,TUSK,Tuskegee
666,SHEN,Shenandoah
667,NOPA,North Park
668,CLAR,Clarion
669,EMER,Emerson
670,GOUC,Goucher
671,GOSH,Goshen
672,WESLEY,Wesley College
673,WAB,Wabash
674,CCAR,LaGrange
675,PRES,Presentation
676,MSV,Mount Saint Vincent
677,BRIDVA,Bridgewater (VA)
678,MIDW,Midway
679,WELC,Welch
680,HEIDEL,Heidelberg
681,MISE,Misericordia
682,QNCY,Quincy
683,WNE,Western New England
684,PENS,Pensacola Christian College
685,UOZA,University of the Ozarks
686,TXLUT,Texas Lutheran
687,MTTECH,Montana Tech
688,MOBAPT,Missouri Baptist
689,URBANA,Urbana
690,ELMS,Elms College
691,CHES,Chestnut Hill
692,SHWN,Shawnee State
693,CRTLND,SUNY-Cortland
694,PFEIFR,Pfeiffer
695,MANC,Manchester
696,HARDIN,Harding
697,TRENAZ,Trevecca Nazarene
698,CSST,Cal State-Stanislaus
699,NAZA,Nazareth College
700,BRYN,Bryn Athyn
701,QNS,Queens College
702,MCKEND,McKendree
703,EWATER,Edward Waters
704,LYND,Vermont State-Lyndon
705,KEAN,Kean
706,MTAL,Mount Aloysius
707,BSC,Birmingham-Southern
708,DU,Dominican (IL)
709,BOYC,Boyce
710,KYWE,Kentucky Wesleyan
711,NGVILL,North Greenville
712,LINCOL,Lincoln (PA)
713,NYIT,NYIT
714,SPALD,Spalding
715,AQUN,Aquinas College
716,ILTECH,Illinois Tech
717,MNMO,Minnesota-Morris
718,WMETTE,Willamette
719,WAL,West Alabama
720,DEF,Defiance
721,ONEO,SUNY-Oneonta
722,ECC,Ecclesia
723,ENM,Eastern New Mexico
724,LEWCL,Lewis & Clark
725,METHOD,Methodist
727,TOUGAL,Tougaloo
728,CONCNE,Concordia (NE)
729,SARE,Salve Regina
730,MOLL,Molloy
731,SWESLE,Southern Wesleyan
732,PBAC,Palm Beach Atlantic
733,WSTMPA,Westminster (PA)
734,SUNYM,SUNY-Maritime
735,STMATX,St. Mary's (TX)
736,MSBOS,Massachusetts-Boston
737,AVEM,Ave Maria
738,NWNAZA,Northwest Nazarene
739,GOVE,Governors State
740,RSCNJ,Stockton
741,JAC,Lindenwood
742,AVIL,Avila
743,HIPACI,Hawaii Pacific
744,EOR,Eastern Oregon
745,FAY,Fayetteville State
746,SWST,Southwest Minnesota State
747,PUCA,Purdue Northwest
748,MCMR,McMurry
749,COKER,Coker
750,DXST,Utah Tech
751,ARMON,Arkansas-Monticello
752,DALCHR,Dallas Christian
753,BTHTN,Bethel (TN)
754,CMPVLE,Campbellsville
755,LAV,La Verne
756,OBER,Oberlin College
757,FLOR,Florida National
758,JOWAL,Johnson & Wales (RI)
759,MCGI,McGill
760,DCKSNS,Dickinson State
761,SKIDMO,Skidmore
762,ELMIRA,Elmira
764,UCSC,California-Santa Cruz
765,WAYB,Wayland Baptist
766,TAMI,Texas A&M-International
767,WCBAP,West Coast Baptist
768,MISSCO,Mississippi College
769,COLL,College of Saint Elizabeth
770,SIENHT,Siena Heights
771,IW,St. Joseph's (NY-Brooklyn)
772,ARBAP,Arlington Baptist
773,SEBAP,Southeastern Baptist
774,OCHIL,Ohio Chillicothe
775,PSWB,Penn State-Wilkes-Barre
776,CASLA,Cal State-Los Angeles
777,NMU,Northern Michigan
778,SDSM,South Dakota School of Mines
779,MONTE,Montevallo
780,CRBN,Corban
784,MSUN,Montana State-Northern
785,FARM,Farmingdale State
786,SWBP,Southwest Baptist
787,NYCT,New York City Tech
789,WCST,Western Colorado
790,BW,Bacone
791,TOM,Thomas
792,ALM,Alma
793,ARTECH,Arkansas Tech
794,MMM,Maine Maritime
795,EMHEN,Emory & Henry
796,CALDW,Caldwell
797,GNV,Geneva
798,GALLU,Gallaudet
799,LUTHE,Luther
800,JDSNE,Judson
801,CRNWE,Carson-Newman
802,NEKEA,Nebraska-Kearney
803,COKLB,Central Oklahoma
804,MRYVLS,Maryville (MO)
805,WIDENP,Widener
806,TAMPAS,Tampa
808,WMPATP,William Paterson
809,MLCW,Midland Lutheran
810,NEBWESP,Nebraska Wesleyan
811,FREEDL,Freed-Hardeman
812,CTCOLLC,Connecticut College
813,WESTMOW,Westmont
814,SKCF,Saint Katherine College
815,PURPAN,Purchase
816,SBERS,St. Bernard
817,MERRI,Merrimack College
818,AKFBN,Alaska Fairbanks
819,XAVLA,Xavier (LA)
820,ERSFF,Erskine
822,JCSG,Johnson C. Smith
823,UMSLR,Missouri-St.Louis
824,CECHT,Central Christian College
825,CHDE,Chadron State
826,BENCR,Benedictine College
827,CBAPM,Central Baptist College
828,CSSBC,CSU San Bernardino
829,LSUAG,LSU-Alexandria
831,CNCUE,Cincinnati Christian
832,OLIVE,Olivet College
833,NDMG,Notre Dame of Maryland
834,CULV,Culver-Stockton
835,TBKT,Thomas University
836,WARUR,Warner
837,CRMTS,Carroll (MT)
838,PERUB,Peru State College
839,UISP,Illinois-Springfield Prairie 
840,WPCK,Warner Pacific College
841,MORRI,Morris College
842,DAKU,Dakota Wesleyan Univeristy
843,PQT,Paul Quinn
844,ROCKH,Rockhurst
845,BPORT,Bridgeport
846,ENAZ,Eastern Nazarene
847,SNOK,Southern-New Orleans
848,PJMC,Pittsburgh-Johnstown
849,ALCE,Alice Lloyd College
850,AHC,Alabama Huntsville
851,SID,Staten Island
852,MOCO,Montreat College
853,LETYJ,Le Tourneau
854,FDMU,FDU Madison
855,FISF,Fisher College
856,HUSSB,Husson
857,WALW,Waldorf College
858,NBRI,Newberry
859,OAKA,Oakwood
860,CRF,Crowleys Ridge
861,NNME,Northern New Mexico
862,MARIK,Marian
863,MMCL,Mount Mary College
864,OWEN,Le Moyne-Owen
865,CCSC,Columbia College (SC)
866,WOU,Western Oregon
867,ASH,Asbury
868,MUSK,Muskingum
869,PHS,Philander Smith
870,OTAZ,Ottawa (AZ)
871,SCSU,Southern Connecticut State
872,WILJ,William Jewell
873,CONV,Converse College
874,BETHB,Anaheim
875,PAIN,Paine
876,ALBS,Albany State (GA)
877,SHOR,Shorter
878,STE,Health Sciences and Pharmacy
879,WMA,Wheaton College (MA)
880,JCSC,New Jersey City
881,PHCH,Philadelphia
883,PACOR,Pacific (OR)
884,MRYV,Maryville (TN)
885,MDV,Michigan Dearborn
886,FLAG,Flagler
887,VF,Valley Forge
888,CURR,Curry College
889,MALONE,Malone
890,CINC,Cincinnati Clermont
891,MVS,Marymount VA
892,FUDF,FDU-Florham
893,RHODE,Rhodes College
894,THIEL,Thiel College
896,CONC,Concordia University (WI)
897,EDMOND,Edmond (OK) Christ
898,OLIVET,Olivet Nazarene
899,ILLWES,Illinois Wesleyan 
900,UAT,University of Texas at Dallas
901,DELTA,Delta State
902,DAVEN,Davenport University
903,WNM,West New Mexico 
904,PLL,Pacific Lutheran
905,EVER,Evergreen State
906,NDM,Notre Dame de Namur
907,HIRAM,Hiram
908,PIKE,Pikeville
909,CHIM,Chicago
910,CROWN,Crown College
911,HAMPT,Hampden-Sydney
912,SPOLY,SUNY Poly
913,EDIN,Edinboro
914,ROCKY,Rocky
915,GETTY,Gettysburg
917,AND,Anderson (IN)
918,NEW,Newport News Apprentice
919,VWH,Virginia-Wise Highland
920,PACI,Pacific Union
921,FAIRS,Fairmont State
922,PHO,Phoenix
923,GORDON,Gordon College
924,SIMPS,Simpson College
925,SUNYPO,SUNY Potsdam
926,ROGERS,Rogers State
927,CORN,Cornell College
928,RED,Redlands
929,BLUE,Bluefield State
930,CONCC,Concord College
931,LESLEY,Lesley
932,FPS,Fresno Pacific
933,TRINIL,Trinity (IL)
934,THOMAS,St. Thomas (TX)
935,OHNO,Ohio Northern
936,SWCU,Southwestern Christian
937,NORTH,North Central
938,ECT,East Central
939,EUREKA,Eureka
940,ED,Edmonds
942,TOCCOA,Toccoa Falls
943,SAGU,SAGU American Indian College
945,POST,LIU Post
946,AUB,Auburn Montgomery
947,GUELPH,Guelph
948,EASTERN,Eastern
949,RIO,Rio Grande 
950,MARTY,Mount Marty
952,WES,Tennessee Wesleyan
953,HASK,Haskell
954,SUMMIT,Clarks Summit
955,GANNON,Gannon
956,FAMILY,Holy Family
957,STLB,St. Thomas (FL)
958,BAC,Belmont Abbey
959,CCMO,Central Christian (MO)
960,SFS,San Francisco State
961,LAND,Lander
962,QUEEN,Queens (NC)
963,RAN,Randall
964,NCMN,North Central (MN)
969,THOM,Thomas (GA)
970,DOANE,Doane
971,CHOW,Chowan
972,SUL,Sul Ross State
